pointid,grid_code
1,0.8298820
2,2.4669800
3,7.1999998
4,0.0000020
5,0.0000058
6,0.0000169
7,0.0000499
8,0.0001471
9,0.0004339
10,0.0012820
11,0.0036820
12,0.0111819
13,0.0330819
14,0.0977319
15,0.2883820
16,0.8469820
17,2.4725299
18,7.1999998
19,0.0000021
20,0.0000061
21,0.0000180
22,0.0000529
23,0.0001555
24,0.0004572
25,0.0012820
26,0.0038320
27,0.0114819
28,0.0339819
29,0.0995319
30,0.2910820
31,0.8490820
32,2.4726801
33,7.1999998
34,0.0000022
35,0.0000064
36,0.0000187
37,0.0000547
38,0.0001603
39,0.0004694
40,0.0012820
41,0.0039820
42,0.0116319
43,0.0342819
44,0.0999819
45,0.2915320
46,0.8492320
47,2.4726801
48,7.1999998
49,0.0000022
50,0.0000065
51,0.0000190
52,0.0000556
53,0.0001625
54,0.0004749
55,0.0014073
56,0.0041073
57,0.0119073
58,0.0344073
59,0.1002570
60,0.2916570
61,0.8493570
62,2.4728100
63,7.1999998
64,0.0000022
65,0.0000065
66,0.0000191
67,0.0000559
68,0.0001632
69,0.0004764
70,0.0014073
71,0.0041073
72,0.0117573
73,0.0344073
74,0.1001070
75,0.2916570
76,0.8492070
77,2.4728100
78,7.1999998
79,0.0000022
80,0.0000065
81,0.0000190
82,0.0000556
83,0.0001625
84,0.0004749
85,0.0014073
86,0.0041073
87,0.0117573
88,0.0344073
89,0.1001070
90,0.2916570
91,0.8492070
92,2.4728100
93,7.1999998
94,0.0000022
95,0.0000064
96,0.0000187
97,0.0000547
98,0.0001603
99,0.0004694
100,0.0014073
101,0.0039573
102,0.0117573
103,0.0342573
104,0.1001070
105,0.2916570
106,0.8492070
107,2.4728100
108,7.1999998
109,0.0000012
110,0.0000014
111,0.0000015
112,0.0000015
113,0.0000014
114,0.0000013
115,0.0000011
116,0.0000021
117,0.0000061
118,0.0000180
119,0.0000529
120,0.0001555
121,0.0004572
122,0.0014073
123,0.0039573
124,0.0116073
125,0.0339573
126,0.0996573
127,0.2912070
128,0.8490570
129,2.4728100
130,7.1999998
131,0.0000017
132,0.0000028
133,0.0000039
134,0.0000047
135,0.0000050
136,0.0000050
137,0.0000046
138,0.0000040
139,0.0000033
140,0.0000027
141,0.0000021
142,0.0000016
143,0.0000012
144,0.0000020
145,0.0000058
146,0.0000169
147,0.0000499
148,0.0001471
149,0.0004339
150,0.0012573
151,0.0038073
152,0.0111573
153,0.0330573
154,0.0978573
155,0.2883570
156,0.8471070
157,2.4726601
158,7.1999998
159,0.0000020
160,0.0000050
161,0.0000091
162,0.0000129
163,0.0000155
164,0.0000165
165,0.0000160
166,0.0000145
167,0.0000124
168,0.0000101
169,0.0000080
170,0.0000061
171,0.0000046
172,0.0000033
173,0.0000024
174,0.0000017
175,0.0000012
176,0.0000018
177,0.0000052
178,0.0000154
179,0.0000453
180,0.0001339
181,0.0003959
182,0.0011073
183,0.0035073
184,0.0104073
185,0.0308073
186,0.0923073
187,0.2768070
188,0.8300070
189,2.4669600
190,7.1999998
191,0.0000048
192,0.0000148
193,0.0000289
194,0.0000423
195,0.0000511
196,0.0000540
197,0.0000517
198,0.0000460
199,0.0000386
200,0.0000310
201,0.0000240
202,0.0000180
203,0.0000132
204,0.0000095
205,0.0000067
206,0.0000047
207,0.0000032
208,0.0000022
209,0.0000015
210,0.0000015
211,0.0000045
212,0.0000133
213,0.0000393
214,0.0001158
215,0.0003419
216,0.0009573
217,0.0030573
218,0.0089073
219,0.0267573
220,0.0803073
221,0.2439570
222,0.7517070
223,2.3621099
224,7.1999998
225,0.0000104
226,0.0000421
227,0.0000916
228,0.0001396
229,0.0001698
230,0.0001778
231,0.0001673
232,0.0001457
233,0.0001197
234,0.0000940
235,0.0000712
236,0.0000524
237,0.0000377
238,0.0000266
239,0.0000184
240,0.0000126
241,0.0000085
242,0.0000057
243,0.0000038
244,0.0000025
245,0.0000016
246,0.0000011
247,0.0000013
248,0.0000037
249,0.0000110
250,0.0000320
251,0.0000939
252,0.0002751
253,0.0008073
254,0.0023073
255,0.0069573
256,0.0206073
257,0.0612573
258,0.1832070
259,0.5567070
260,1.7664599
261,7.1999998
262,0.0000170
263,0.0001115
264,0.0002875
265,0.0004628
266,0.0005680
267,0.0005875
268,0.0005418
269,0.0004607
270,0.0003692
271,0.0002829
272,0.0002094
273,0.0001508
274,0.0001062
275,0.0000735
276,0.0000501
277,0.0000337
278,0.0000224
279,0.0000148
280,0.0000097
281,0.0000063
282,0.0000041
283,0.0000026
284,0.0000017
285,0.0000011
286,0.0000010
287,0.0000029
288,0.0000084
289,0.0000244
290,0.0000705
291,0.0002035
292,0.0005862
293,0.0016850
294,0.0048275
295,0.0137624
296,0.0389206
297,0.1084630
298,0.2925260
299,0.7063390
300,0.0000140
301,0.0002563
302,0.0008825
303,0.0015434
304,0.0019163
305,0.0019444
306,0.0017944
307,0.0014944
308,0.0011944
309,0.0008944
310,0.0005944
311,0.0004444
312,0.0002944
313,0.0001599
314,0.0001599
315,0.0001599
316,0.0000099
317,0.0000099
318,0.0000099
319,0.0000099
320,0.0000099
321,0.0000063
322,0.0000040
323,0.0000025
324,0.0000016
325,0.0000021
326,0.0000060
327,0.0000172
328,0.0000486
329,0.0001367
330,0.0003819
331,0.0010568
332,0.0028832
333,0.0076975
334,0.0198211
335,0.0476567
336,0.0975623
337,0.1105680
338,0.0004127
339,0.0025835
340,0.0051819
341,0.0065423
342,0.0065294
343,0.0056944
344,0.0044944
345,0.0034444
346,0.0025444
347,0.0017944
348,0.0011944
349,0.0007444
350,0.0005944
351,0.0003100
352,0.0001599
353,0.0001599
354,0.0001599
355,0.0000099
356,0.0000099
357,0.0000099
358,0.0000099
359,0.0000094
360,0.0000059
361,0.0000037
362,0.0000023
363,0.0000014
364,0.0000014
365,0.0000040
366,0.0000111
367,0.0000305
368,0.0000826
369,0.0002208
370,0.0005775
371,0.0014640
372,0.0035354
373,0.0078613
374,0.0149030
375,0.0192468
376,0.0057426
377,0.0001608
378,0.0066556
379,0.0175225
380,0.0227118
381,0.0220158
382,0.0183955
383,0.0140944
384,0.0101944
385,0.0071944
386,0.0047944
387,0.0032944
388,0.0020944
389,0.0013444
390,0.0008944
391,0.0006099
392,0.0003100
393,0.0001599
394,0.0001599
395,0.0001599
396,0.0000099
