pointid,grid_code
1,0.0000026
2,0.0000108
3,0.0000452
4,0.0001890
5,0.0007909
6,0.0033076
7,0.0138213
8,0.0576932
9,0.2405130
10,1.0013200
11,4.1647000
12,17.3164997
13,72.0000000
14,0.0000026
15,0.0000110
16,0.0000461
17,0.0001923
18,0.0008016
19,0.0033405
20,0.0139118
21,0.0579021
22,0.2408670
23,1.0016400
24,4.1647601
25,17.3164997
26,72.0000000
27,0.0000027
28,0.0000112
29,0.0000464
30,0.0001934
31,0.0008049
32,0.0033492
33,0.0139313
34,0.0579355
35,0.2409040
36,1.0016600
37,4.1647601
38,17.3164997
39,72.0000000
40,0.0000036
41,0.0000085
42,0.0000080
43,0.0000102
44,0.0000109
45,0.0000102
46,0.0000087
47,0.0000068
48,0.0000051
49,0.0000036
50,0.0000025
51,0.0000027
52,0.0000112
53,0.0000465
54,0.0001937
55,0.0008056
56,0.0033508
57,0.0139341
58,0.0579391
59,0.2409060
60,1.0016600
61,4.1647601
62,17.3164997
63,72.0000000
64,0.0000023
65,0.0000139
66,0.0000228
67,0.0000397
68,0.0000513
69,0.0000541
70,0.0000495
71,0.0000409
72,0.0000312
73,0.0000225
74,0.0000155
75,0.0000102
76,0.0000065
77,0.0000040
78,0.0000024
79,0.0000015
80,0.0000027
81,0.0000112
82,0.0000464
83,0.0001934
84,0.0008049
85,0.0033492
86,0.0139313
87,0.0579355
88,0.2409040
89,1.0016600
90,4.1647601
91,17.3164997
92,72.0000000
93,0.0000044
94,0.0000301
95,0.0001045
96,0.0001980
97,0.0002593
98,0.0002694
99,0.0002399
100,0.0001917
101,0.0001417
102,0.0000988
103,0.0000659
104,0.0000423
105,0.0000263
106,0.0000159
107,0.0000094
108,0.0000055
109,0.0000032
110,0.0000019
111,0.0000026
112,0.0000110
113,0.0000461
114,0.0001923
115,0.0008016
116,0.0033405
117,0.0139118
118,0.0579021
119,0.2408670
120,1.0016400
121,4.1647601
122,17.3164997
123,72.0000000
124,0.0000034
125,0.0000922
126,0.0004676
127,0.0009905
128,0.0013213
129,0.0013460
130,0.0011595
131,0.0008927
132,0.0006350
133,0.0004266
134,0.0002746
135,0.0001709
136,0.0001034
137,0.0000611
138,0.0000354
139,0.0000202
140,0.0000114
141,0.0000063
142,0.0000035
143,0.0000021
144,0.0000026
145,0.0000108
146,0.0000452
147,0.0001890
148,0.0007909
149,0.0033076
150,0.0138213
151,0.0576932
152,0.2405130
153,1.0013200
154,4.1647000
155,17.3164997
156,72.0000000
157,0.0001845
158,0.0019543
159,0.0049692
160,0.0068076
161,0.0067558
162,0.0055842
163,0.0041118
164,0.0028006
165,0.0018055
166,0.0011183
167,0.0006721
168,0.0003944
169,0.0002269
170,0.0001283
171,0.0000716
172,0.0000395
173,0.0000216
174,0.0000117
